title,description,background,face,body,weapon,head,necklace,media,tags,rarity_score,rarity_rank
Ninja #2837,It's time.,Mountain,Shuriken,Pink Ninja,Jason Mask,Cat Earphones,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2837.jpeg,[],31.66128271760408,1460.0
Ninja #4228,It's time.,Red,Bow,Red Ninja,Laser Eyes,Flash,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4228.jpeg,[],31.66125540103641,1461.0
Ninja #5123,It's time.,Blue,Double Staff,Green Ninja,Laser Eyes,Durag,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5123.jpeg,[],31.66061668161737,1462.0
Ninja #1574,It's time.,Orange,Nunchucks,Brown Ninja,Laser Eyes,Wreath,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1574.jpeg,[],31.65997981043468,1463.0
Ninja #4146,It's time.,Orange,Bow,Black Ninja,Joint,Thorn Crown,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4146.jpeg,[],31.659282909616792,1464.0
Ninja #4628,It's time.,Glow,Shuriken,Grey Ninja,Pipe,Blue Headband,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4628.jpeg,[],31.658158454574817,1465.0
Ninja #4273,It's time.,Orange,Scythe,White Ninja,Jason Mask,Arrow,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4273.jpeg,[],31.656857763321828,1466.0
Ninja #837,It's time.,Mountain,Nunchucks,Brown Ninja,Jason Mask,Nan,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/837.jpeg,[],31.656846042590136,1467.0
Ninja #3508,It's time.,Mountain,Gold Bow,Blue Ninja,Jason Mask,Ball Cap,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3508.jpeg,[],31.656144303891807,1468.0
Ninja #1767,It's time.,Yellow,Nan,Black Ninja,Joint,Samurai Hat,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1767.jpeg,[],31.6554889113319,1469.0
Ninja #366,It's time.,Scripture,Staff,Grey Ninja,Laser Eyes,Cross,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/366.jpeg,[],31.655402393534526,1470.0
Ninja #2883,It's time.,Red,Ball And Chain,Black Ninja,Ghost Mask,Flash,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2883.jpeg,[],31.65524836510468,1471.0
Ninja #620,It's time.,Blue,Ball And Chain,Gold Ninja,Pipe,Straw Hat,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/620.jpeg,[],31.65510387531692,1472.0
Ninja #2240,It's time.,Blue,Staff,Red Ninja,Laser Eyes,Thorn Crown,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2240.jpeg,[],31.654515737588614,1473.0
Ninja #846,It's time.,Scripture,Nunchucks,Brown Ninja,Cigarette,Flame,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/846.jpeg,[],31.65418443378732,1474.0
Ninja #2751,It's time.,Blue,Gold Sword,Black Ninja,Joint,Crown,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2751.jpeg,[],31.653325402757904,1475.0
Ninja #4863,It's time.,Mint,Scythe,Grey Ninja,Candy Cane,Flash,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4863.jpeg,[],31.65293344289705,1476.0
Ninja #3298,It's time.,Sand,Red Sword,Red Ninja,Joint,Horns,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3298.jpeg,[],31.65261350831592,1477.0
Ninja #2806,It's time.,Red,Bow,Gold Ninja,Cigarette,Flash,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2806.jpeg,[],31.652077251179996,1478.0
Ninja #1039,It's time.,Scripture,Bow,Pink Ninja,Ghost Mask,Flame,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1039.jpeg,[],31.651940144803714,1479.0
Ninja #2823,It's time.,Glow,Gold Bow,Gold Ninja,Ghost Mask,Arrow,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2823.jpeg,[],31.651760639135645,1480.0
Ninja #236,It's time.,Orange,Double Staff,Brown Ninja,Candy Cane,Headphones,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/236.jpeg,[],31.651283340025827,1481.0
Ninja #206,It's time.,Scripture,Gold Bow,Blue Ninja,Cigarette,Blue Flame,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/206.jpeg,[],31.651131096976613,1482.0
Ninja #2594,It's time.,Blue,Nunchucks,Red Ninja,Pipe,Crown,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2594.jpeg,[],31.65100672096777,1483.0
Ninja #462,It's time.,Blue,Nunchucks,Black Ninja,Ghost Mask,Durag,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/462.jpeg,[],31.65028617336226,1484.0
